,,Hinweise,,,,,,,
,,"Ergebnis (0: nicht äquivalent, 1: äquivalent, (pm=0..1): tw. Äquivalent, error: Fehler → System kann Querys nicht vergleichen)",,,,,,,
,,pm = partial marking (z.B. zu 85% korrekt),,,,,,,
,,"pm, sonst 0 → falls Verfahren partielle Bewertung unterstützt wird pm erwartet, ansonsten nicht äquivalent erwartet",,,,,,,
,,,,,,,,,
,,"Name = Cosette, pm = false",,,,tats. = tatsächlich,,,
,,,,,,,,,
,,,,Ergebnis,,,,,
Mutations-Kategorie/SQL-Feature,Nr.,Query (Musterlösung),Test-Query (Kandidat),erwartet,tats.,Anmerkung,Compare,,
columns select vs. Select *,1,SELECT * FROM Album;,"SELECT AlbumId, Title, ArtistId FROM Album;",1,unknown,"{u'rosette_result': u'UNSAT', u'rosette_log': u'', u'coq_result': u'UNKNOWN', u'result': u'UNKNOWN', u'coq_log': u''}. out of time: https://github.com/uwdb/Cosette/issues/80",1,,
,2,"SELECT AlbumId, Title, ArtistId FROM Album;",SELECT * FROM Album;,1,unknown,"{u'rosette_result': u'UNSAT', u'rosette_log': u'', u'coq_result': u'UNKNOWN', u'result': u'UNKNOWN', u'coq_log': u''}
",1,,
"where: same semantic, minimal syntax change",3,"SELECT TrackId FROM PlaylistTrack 
WHERE TrackId < 100;","SELECT TrackId FROM PlaylistTrack 
WHERE TrackId <= 99;",1,error,"{u'rosette_log': u'{""size"":[1],""status"":""UNSAT""}\ngenerated/VxNmtKgrTvHqx.rkt:17:15: trackid: unbound identifier in module\n  in: trackid\n  context...:\n   /root/.racket/6.8/pkgs/rosette/rosette/base/form/module.rkt:16:0\n   standard-module-name-resolver\n   /Cosette/rosette/server.rkt:38:10\n', u'coq_result': u'ERROR', u'coq_log': u'Invalid generated Coq code. Please file an issue.', u'result': u'ERROR', u'rosette_result': u'ERROR', u'error_msg': u'Invalid generated Coq code. Please file an issue. \n \n {""size"":[1],""status"":""UNSAT""}\ngenerated/VxNmtKgrTvHqx.rkt:17:15: trackid: unbound identifier in module\n  in: trackid\n  context...:\n   /root/.racket/6.8/pkgs/rosette/rosette/base/form/module.rkt:16:0\n   standard-module-name-resolver\n   /Cosette/rosette/server.rkt:38:10\n'}
",1,,
Semicolon ;,4,SELECT Name FROM Genre;,SELECT Name FROM Genre,1,error,"{u'rosette_log': u'Syntax Error. \n ERROR: ""(line 10, column 1):\\nunexpected \'v\'\\nexpecting \\""--\\"", \\""/*\\"", \\"";\\"" or end of input""', u'coq_result': u'ERROR', u'coq_log': u'Syntax Error. \n ERROR: ""(line 10, column 1):\\nunexpected \'v\'\\nexpecting \\""--\\"", \\""/*\\"", \\"";\\"" or end of input""', u'result': u'ERROR', u'counterexamples': [], u'rosette_result': u'ERROR', u'error_msg': u'Syntax Error. \n ERROR: ""(line 10, column 1):\\nunexpected \'v\'\\nexpecting \\""--\\"", \\""/*\\"", \\"";\\"" or end of input""'}
",1,,
"syntax sql keywords (upper, lower case)",5,SELECT Name FROM MediaType;,select Name FrOm MediaType;,1,1,,0,,
column count differing,6,"SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;","SELECT BillingAddress, BillingCity FROM Invoice;",0,0,"{u'rosette_log': u'Rosette find an counterexample.', u'coq_result': u'UNKNOWN', u'coq_log': u'', u'result': u'NEQ', u'counterexamples': [{u'table-content': [[u'invoiceid', u'customerid', u'invoicedate', u'billingaddress', u'billingcity', u'billingstate', u'billingcountry', u'billingpostalcode', u'total'], [[[0, 0, 0, 0, 0, 0, 0, 0, 0], 1]]], u'table-name': u'invoice'}], u'rosette_result': u'NEQ'}
",0,,
,7,"SELECT BillingAddress, BillingCity FROM Invoice;","SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;",0,0,,0,,
column ordering,8,,"SELECT BillingCity, BillingAddress  FROM Invoice;",0,0,"{u'rosette_log': u'Rosette find an counterexample.', u'coq_result': u'UNKNOWN', u'coq_log': u'', u'result': u'NEQ', u'counterexamples': [{u'table-content': [[u'invoiceid', u'customerid', u'invoicedate', u'billingaddress', u'billingcity', u'billingstate', u'billingcountry', u'billingpostalcode', u'total'], [[[0, 0, 0, 1, 0, 0, 0, 0, 0], 1]]], u'table-name': u'invoice'}], u'rosette_result': u'NEQ'}
",0,,
order by,9,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;","SELECT TrackId, Name, GenreId from Track ORDER BY GenreId;",1,error,"{u'rosette_log': u'Syntax Error. \n ERROR: ""(line 7, column 61):\\nunexpected \\""b\\""\\nexpecting \\""--\\"" or \\""/*\\""""', u'coq_result': u'ERROR', u'coq_log': u'Syntax Error. \n ERROR: ""(line 7, column 61):\\nunexpected \\""b\\""\\nexpecting \\""--\\"" or \\""/*\\""""', u'result': u'ERROR', u'counterexamples': [], u'rosette_result': u'ERROR', u'error_msg': u'Syntax Error. \n ERROR: ""(line 7, column 61):\\nunexpected \\""b\\""\\nexpecting \\""--\\"" or \\""/*\\""""'}
",1,,
,10,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId DESC;","SELECT TrackId, Name, GenreId from Track;",0,error,"{u'rosette_log': u'Syntax Error. \n ERROR: ""(line 7, column 61):\\nunexpected \\""b\\""\\nexpecting \\""--\\"" or \\""/*\\""""', u'coq_result': u'ERROR', u'coq_log': u'Syntax Error. \n ERROR: ""(line 7, column 61):\\nunexpected \\""b\\""\\nexpecting \\""--\\"" or \\""/*\\""""', u'result': u'ERROR', u'counterexamples': [], u'rosette_result': u'ERROR', u'error_msg': u'Syntax Error. \n ERROR: ""(line 7, column 61):\\nunexpected \\""b\\""\\nexpecting \\""--\\"" or \\""/*\\""""'}
",1,,
,11,,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;",0,error,s.o.,1,,
Redundanzen,12,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2;
","SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 and MediaTypeId > 1;",1,unknown,Two queries' equivalence is unknown. Solver runs out of time.,1,,
,13,,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 or MediaTypeId > 1;
",0,0,"{u'rosette_log': u'Rosette find an counterexample.', u'coq_result': u'UNKNOWN', u'coq_log': u'', u'result': u'NEQ', u'counterexamples': [{u'table-content': [[u'trackid', u'name', u'albumid', u'mediatypeid', u'genreid', u'composer', u'milliseconds', u'bytes', u'unitprice'], [[[0, 0, 0, 2, 0, 0, 0, 0, 0], 1]]], u'table-name': u'track'}], u'rosette_result': u'NEQ'}
",0,,
