,,Hinweise,,,,,,
,,"Ergebnis (0: nicht äquivalent, 1: äquivalent, (pm=0..1): tw. Äquivalent, error: Fehler → System kann Querys nicht vergleichen)",,,,,,
,,pm = partial marking (z.B. zu 85% korrekt),,,,,,
,,"pm → falls Verfahren partielle Bewertung unterstützt wird pm erwartet, ansonsten nicht äquivalent erwartet",,,,,,
,,,,,,,,
,,"Name = CS12x, pm = true",,,,tats. = tatsächlich,,
,,,,,,,,
,,,,Ergebnis,,,,
Mutations-Kategorie/SQL-Feature,Nr.,Query (Musterlösung),Test-Query (Kandidat),erwartet,tats.,Anmerkung,Compare,
columns select vs. Select *,1,SELECT * FROM Album;,"SELECT AlbumId, Title, ArtistId FROM Album;",1,1,,0,
,2,"SELECT AlbumId, Title, ArtistId FROM Album;",SELECT * FROM Album;,1,1,,0,
"where: same semantic, minimal syntax change",3,"SELECT TrackId FROM PlaylistTrack 
WHERE TrackId < 100;","SELECT TrackId FROM PlaylistTrack 
WHERE TrackId <= 99;",1,0,"BadQueryError [-0]: Query might be bad because it is empty, contains unexpected SQL or extra stuff before or after. This might need to be manually graded.",1,
Semicolon ;,4,SELECT Name FROM Genre;,SELECT Name FROM Genre,1,1,,0,
"syntax sql keywords (upper, lower case)",5,SELECT Name FROM MediaType;,select Name FrOm MediaType;,1,1,,0,
column count differing,6,"SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;","SELECT BillingAddress, BillingCity FROM Invoice;",pm,0,WrongNumColumnsError [-0]: More or fewer columns included.,1,
,7,"SELECT BillingAddress, BillingCity FROM Invoice;","SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;",pm,0,"    WrongNumColumnsError [-0]: More or fewer columns included.
",1,
column ordering,8,,"SELECT BillingCity, BillingAddress  FROM Invoice;",pm,"0,7","    ColumnOrderError [-3]: Columns are in the wrong order.
",0,
order by,9,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;","SELECT TrackId, Name, GenreId from Track ORDER BY GenreId;",1,1,,0,
,10,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId DESC;","SELECT TrackId, Name, GenreId from Track;",0,"0,7","    OrderByError [-3]: Missing or incorrect ORDER BY statement.
",1,
,11,,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;",pm,"0,7","    OrderByError [-3]: Missing or incorrect ORDER BY statement.
",0,
Redundanzen,12,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2;
","SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 and MediaTypeId > 1;",1,1,,0,
,13,,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 or MediaTypeId > 1;
",pm,0,differing row contents,1,
Sub-Query/Join,14,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType where MediaType.Name = 'AAC audio file')
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId;","select Track.TrackId, Track.Name, Track.Composer   from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType)
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId;
",pm,0,differing row contents,1,
,15,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
Join MediaType ON Track.MediaTypeId = MediaType.MediaTypeId;

",pm,0,differing row contents,1,
,16,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
WHERE MediaType.Name = 'AAC audio file';

",1,1,,0,
,17,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
AND MediaType.Name = 'AAC audio file';


",1,1,,0,
,18,,"select Track.TrackId, Track.Name, Track.Composer
from Track, MediaType
where
Track.MediaTypeId = MediaType.MediaTypeId
and 
(MediaType.Name = 'AAC audio file')",1,1,,0,
distinct,19,SELECT DISTINCT PlaylistId FROM PlaylistTrack;,SELECT  PlaylistId FROM PlaylistTrack;,0,0,,0,
"where, and",20,"SELECT * FROM Employee
WHERE Title = 'Sales Support Agent';",SELECT * FROM Employee;,0,0,,0,
,21,,"SELECT * FROM Employee
WHERE ReportsTo = 2;

",pm,1,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik,1,
,22,"SELECT Email FROM Employee
WHERE City = 'Calgary' AND ReportsTo = 1;
","SELECT Email FROM Employee
WHERE City = 'Calgary';
",pm,0,differing row contents,1,
or,23,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City  = 'Lethbridge';","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton';",pm,0,differing row contents,1,
,24,,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City = 'Calgary';",pm,0,differing row contents,1,
not,25,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Calgary';","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Lethbridge' OR City = 'Edmonton';",pm,1,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz,1,
,26,,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Edmonton';",pm,0,differing row contents,1,
limit,27,"SELECT LastName, FirstName, City FROM Employee
LIMIT 3;","SELECT LastName, FirstName, City FROM Employee
LIMIT 4;
",pm,0,differing row contents,1,
,28,,"SELECT LastName, FirstName, City FROM Employee;",0,0,differing row contents,0,
"min, max",29,SELECT MIN(UnitPrice) FROM InvoiceLine;,SELECT UnitPrice FROM InvoiceLine LIMIT 1;,0,1,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz,1,
,30,,SELECT MAX(UnitPrice) FROM InvoiceLine;,pm,0,,1,
,31,SELECT MAX(UnitPrice) FROM InvoiceLine;,SELECT UnitPrice FROM InvoiceLine LIMIT 1;,0,0,,0,
count,32,"SELECT COUNT(UnitPrice) FROM InvoiceLine WHERE UnitPrice = 0.99;
",SELECT UnitPrice FROM InvoiceLine WHERE UnitPrice = 0.99;,0,0,,0,
avg,33,"SELECT avg(Total) FROM Invoice;
",SELECT Total FROM Invoice;,0,0,,0,
sum,34,SELECT sum(Total) FROM Invoice;,,0,0,,0,
like,35,"SELECT ArtistId, Name FROM Artist WHERE Name LIKE '%Metal%';","SELECT ArtistId, Name FROM Artist;",0,0,,0,
,36,"SELECT ArtistId, Name FROM Artist
WHERE Name LIKE 'Sant%';","SELECT ArtistId, Name FROM Artist
WHERE Name LIKE 'San%';",pm,0,differing row contents,1,
