,,Hinweise,,,,
,,"Ergebnis (0: nicht äquivalent, 1: äquivalent, (pm=0..1): tw. Äquivalent, error: Fehler → System kann Querys nicht vergleichen)",,,,
,,pm = partial marking (z.B. zu 85% korrekt),,,,
,,"pm, sonst 0 → falls Verfahren partielle Bewertung unterstützt wird pm erwartet, ansonsten nicht äquivalent erwartet",,,,
,,,,,,
,,"Muster (Name = x, pm = true/false)",,,,tats. = tatsächlich
,,,,,,
,,,,Ergebnis,,
Mutations-Kategorie/SQL-Feature,Nr.,Query (Musterlösung),Test-Query (Kandidat),erwartet,tats.,Anmerkung
columns select vs. Select *,1,SELECT * FROM Album;,"SELECT AlbumId, Title, ArtistId FROM Album;",1,,
,2,"SELECT AlbumId, Title, ArtistId FROM Album;",SELECT * FROM Album;,1,,
"where: same semantic, minimal syntax change",3,"SELECT TrackId FROM PlaylistTrack 
WHERE TrackId < 100;","SELECT TrackId FROM PlaylistTrack 
WHERE TrackId <= 99;",1,,
Semicolon ;,4,SELECT Name FROM Genre;,SELECT Name FROM Genre,1,,
"syntax sql keywords (upper, lower case)",5,SELECT Name FROM MediaType;,select Name FrOm MediaType;,1,,
column count differing,6,"SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;","SELECT BillingAddress, BillingCity FROM Invoice;","pm, sonst 0",,
,7,"SELECT BillingAddress, BillingCity FROM Invoice;","SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;","pm, sonst 0",,
column ordering,8,,"SELECT BillingCity, BillingAddress  FROM Invoice;","pm, sonst 0",,
order by,9,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;","SELECT TrackId, Name, GenreId from Track ORDER BY GenreId;",1,,
,10,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId DESC;","SELECT TrackId, Name, GenreId from Track;","pm, sonst 0",,
,11,,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;","pm, sonst 0",,
Redundanzen,12,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2;
","SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 and MediaTypeId > 1;",1,,
,13,,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 or MediaTypeId > 1;
","pm, sonst 0",,
Sub-Query/Join,14,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType where name = 'AAC audio file')
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId;","select Track.TrackId, Track.Name, Track.Composer   from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType)
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId;
","pm, sonst 0",,
,15,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
Join MediaType ON Track.MediaTypeId = MediaType.MediaTypeId;

","pm, sonst 0",,
,16,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
WHERE MediaType.Name = 'AAC audio file';

",1,,
,17,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
AND MediaType.Name = 'AAC audio file';


",1,,
,18,,"select Track.TrackId, Track.Name, Track.Composer
from Track, MediaType
where
Track.MediaTypeId = MediaType.MediaTypeId
and 
(MediaType.Name = 'AAC audio file')",1,,
distinct,19,SELECT DISTINCT PlaylistId FROM PlaylistTrack;,SELECT  PlaylistId FROM PlaylistTrack;,"pm, sonst 0",,
"where, and",20,"SELECT * FROM Employee
WHERE Title = 'Sales Support Agent';",SELECT * FROM Employee;,"pm, sonst 0",,keine Where-Klausel
,21,,"SELECT * FROM Employee
WHERE ReportsTo = 2;

","pm, sonst 0",,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik
,22,"SELECT Email FROM Employee
WHERE City = 'Calgary' AND ReportsTo = 1;
","SELECT Email FROM Employee
WHERE City = 'Calgary';
","pm, sonst 0",,
or,23,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City  = 'Lethbridge';","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton';","pm, sonst 0",,
,24,,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City = 'Calgary';","pm, sonst 0",,
not,25,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Calgary';","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Lethbridge' OR City = 'Edmonton';","pm, sonst 0",,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz
,26,,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Edmonton';","pm, sonst 0",,
limit,27,"SELECT LastName, FirstName, City FROM Employee
LIMIT 3;","SELECT LastName, FirstName, City FROM Employee
LIMIT 4;
","pm, sonst 0",,
,28,,"SELECT LastName, FirstName, City FROM Employee;",0,,
"min, max",29,SELECT MIN(UnitPrice) FROM InvoiceLine;,SELECT UnitPrice FROM InvoiceLine LIMIT 1;,0,,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz
,30,,SELECT MAX(UnitPrice) FROM InvoiceLine;,0,,
,31,SELECT MAX(UnitPrice) FROM InvoiceLine;,SELECT UnitPrice FROM InvoiceLine LIMIT 1;,0,,
count,32,"SELECT COUNT(UnitPrice) FROM InvoiceLine WHERE UnitPrice = 0.99;
",SELECT UnitPrice FROM InvoiceLine WHERE UnitPrice = 0.99;,0,,
avg,33,"SELECT avg(Total) FROM Invoice;
",SELECT Total FROM Invoice;,0,,
sum,34,SELECT sum(Total) FROM Invoice;,,0,,
like,35,"SELECT ArtistId, Name FROM Artist WHERE Name LIKE '%Metal%';","SELECT ArtistId, Name FROM Artist;",0,,
,36,"SELECT ArtistId, Name FROM Artist
WHERE Name LIKE 'Sant%';","SELECT ArtistId, Name FROM Artist
WHERE Name LIKE 'San%';","pm, sonst 0",,
,37,"SELECT ArtistId, Name FROM Artist
WHERE Name LIKE 'M%o';
","SELECT ArtistId, Name FROM Artist
WHERE Name LIKE 'M%';","pm, sonst 0",,
,38,"SELECT ArtistId, Name FROM Artist
WHERE Name LIKE '_ %';","SELECT ArtistId, Name FROM Artist
WHERE Name LIKE '_%';","pm, sonst 0",,
in,39,"SELECT InvoiceId, InvoiceDate, BillingCountry FROM Invoice 
WHERE BillingCountry IN ('USA', 'Canada', 'Brazil');","SELECT InvoiceId, InvoiceDate, BillingCountry FROM Invoice;",0,,
