,,Hinweise,,,,,,
,,"Ergebnis (0: nicht äquivalent, 1: äquivalent, (pm=0..1): tw. Äquivalent, error: Fehler → System kann Querys nicht vergleichen)",,,,,,
,,pm = partial marking (z.B. zu 85% korrekt),,,,,,
,,"pm, sonst 0 → falls Verfahren partielle Bewertung unterstützt wird pm erwartet, ansonsten nicht äquivalent erwartet",,,,,,
,,,,,,,,
,,"Name = SQLAutoGrader, pm = false",,,,tats. = tatsächlich,,
,,,,,,,,
,,,,Ergebnis,,,,
Mutations-Kategorie/SQL-Feature,Nr.,Query (Musterlösung),Test-Query (Kandidat),erwartet,tats.,Anmerkung,Compare,
columns select vs. Select *,1,SELECT * FROM Album,"SELECT AlbumId, Title, ArtistId FROM Album",1,0,Output comparision → bug?!,1,
,2,"SELECT AlbumId, Title, ArtistId FROM Album",SELECT * FROM Album,1,0,"Output rowcount
Row count matched Expected:347 Obtained:347

Output comparision
Output mismatch by rows",1,
"where: same semantic, minimal syntax change",3,"SELECT TrackId FROM PlaylistTrack 
WHERE TrackId < 100","SELECT TrackId FROM PlaylistTrack 
WHERE TrackId <= 99",1,1,,0,
Semicolon ;,4,SELECT Name FROM Genre;,SELECT Name FROM Genre,1,error,"(node:6661) UnhandledPromiseRejectionWarning: SyntaxError: Expected "","", ""."", ""AS"", ""GROUP"", ""INNER"", ""JOIN"", ""LEFT"", ""LIMIT"", ""ORDER"", ""UNION"", ""WHERE"", ""`"", WHITE_SPACE, [A-Za-z0-9_], [A-Za-z_], or end of input but "";"" found.
",1,
"syntax sql keywords (upper, lower case)",5,SELECT Name FROM MediaType,select Name FrOm MediaType,1,1,,0,
column count differing,6,"SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice","SELECT BillingAddress, BillingCity FROM Invoice",0,0,erkennt untersch. Anzahl spalten direkt in SELECT nicht! → code geprüft: mysql.js:108;  irreführende Fehlermeldung,0,
,7,"SELECT BillingAddress, BillingCity FROM Invoice","SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice",0,1,tool erkennt untersch. Anzahl Spalten nicht als Fehler,1,
column ordering,8,,"SELECT BillingCity, BillingAddress  FROM Invoice",0,1,,1,
order by,9,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC","SELECT TrackId, Name, GenreId from Track ORDER BY GenreId",1,1,,0,
,10,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId DESC","SELECT TrackId, Name, GenreId from Track",0,1,,1,
,11,,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC",0,1,,1,
Redundanzen,12,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2
","SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 and MediaTypeId > 1",1,1,,0,
,13,,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 or MediaTypeId > 1
",0,0,,0,
Sub-Query/Join,14,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType where MediaType.Name = 'AAC audio file')
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId","select Track.TrackId, Track.Name, Track.Composer   from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType)
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId
",0,0,"Row count mismatched Expected:11 Obtained:3503

Missing Tables in query: rep_string_1

Extra Tables in query: rep_string_0",0,
,15,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
Join MediaType ON Track.MediaTypeId = MediaType.MediaTypeId

",0,0,"Output rowcount
Row count mismatched Expected:11 Obtained:3503

Output comparision
Output mismatch by 3492 rows

Query Cluase Analysis
Missing Tables in query: rep_string_1

Extra Tables in query: MediaType",0,
,16,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
WHERE MediaType.Name = 'AAC audio file'

",1,0,"Query eigentlich korrekt, nur laut Tool fehlen bestimmte Klauseln:       Query Cluase Analysis
Missing Tables in query: rep_string_1

Extra Tables in query: MediaType

Extra condition on columns: Name",1,
,17,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
AND MediaType.Name = 'AAC audio file'


",1,0,"Query Cluase Analysis
Missing Tables in query: rep_string_1

Extra Tables in query: MediaType",1,
,18,,"select Track.TrackId, Track.Name, Track.Composer
from Track, MediaType
where
Track.MediaTypeId = MediaType.MediaTypeId
and 
(MediaType.Name = 'AAC audio file')",1,0,"Query Cluase Analysis
Missing Tables in query: rep_string_1

Extra Tables in query: MediaType

Extra condition on columns: MediaTypeId,Name",1,
distinct,19,SELECT DISTINCT PlaylistId FROM PlaylistTrack,SELECT  PlaylistId FROM PlaylistTrack,0,0,,0,
"where, and",20,"SELECT * FROM Employee
WHERE Title = 'Sales Support Agent'",SELECT * FROM Employee,0,0,"Query Output Analysis
Output rowcount
Row count mismatched Expected:3 Obtained:8

Output comparision
Output mismatch by rows

Query Cluase Analysis
Missing condition on columns: Title",0,
,21,,"SELECT * FROM Employee
WHERE ReportsTo = 2

",0,0,"zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik – Query Cluase Analysis
Missing condition on columns: Title

Extra condition on columns: ReportsTo",0,
,22,"SELECT Email FROM Employee
WHERE City = 'Calgary' AND ReportsTo = 1
","SELECT Email FROM Employee
WHERE City = 'Calgary'
",0,0,"Query Output Analysis
Output rowcount
Row count mismatched Expected:2 Obtained:5

Output comparision
Output mismatch by 3 rows

Query Cluase Analysis
Missing condition on columns: ReportsTo",0,
or,23,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City  = 'Lethbridge'","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton'",0,0,"Output rowcount
Row count mismatched Expected:3 Obtained:1

Output comparision
Output mismatch by 2 rows",0,
,24,,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City = 'Calgary'",0,0,"Output rowcount
Row count mismatched Expected:3 Obtained:6

Output comparision
Output mismatch by 7 rows",0,
not,25,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Calgary'","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Lethbridge' OR City = 'Edmonton'",0,1,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz,1,
,26,,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Edmonton'",0,0,"Output rowcount
Row count mismatched Expected:3 Obtained:7

Output comparision
Output mismatch by 6 rows",0,
