,,Hinweise,,,,,,
,,"Ergebnis (0: nicht äquivalent, 1: äquivalent, (pm=0..1): tw. Äquivalent, error: Fehler → System kann Querys nicht vergleichen)",,,,,,
,,pm = partial marking (z.B. zu 85% korrekt),,,,,,
,,"pm, sonst 0 → falls Verfahren partielle Bewertung unterstützt wird pm erwartet, ansonsten nicht äquivalent erwartet",,,,,,
,,,,,,,,
,,"Name = testSQL, pm = false",,,,tats. = tatsächlich,,
,,,,,,,,
,,,,Ergebnis,,,,
Mutations-Kategorie/SQL-Feature,Nr.,Query (Musterlösung),Test-Query (Kandidat),erwartet,tats.,Anmerkung,Compare,
columns select vs. Select *,1,SELECT * FROM Album;,"SELECT AlbumId, Title, ArtistId FROM Album;",1,1,,0,
,2,"SELECT AlbumId, Title, ArtistId FROM Album;",SELECT * FROM Album;,1,1,,0,
"where: same semantic, minimal syntax change",3,"SELECT TrackId FROM PlaylistTrack 
WHERE TrackId < 100;","SELECT TrackId FROM PlaylistTrack 
WHERE TrackId <= 99;",1,1,,0,
Semicolon ;,4,SELECT Name FROM Genre;,SELECT Name FROM Genre,1,1,,0,
"syntax sql keywords (upper, lower case)",5,SELECT Name FROM MediaType;,select Name FrOm MediaType;,1,1,,0,
column count differing,6,"SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;","SELECT BillingAddress, BillingCity FROM Invoice;",0,0,"Expected only the following column(s) to be selected: InvoiceDate, BillingAddress, BillingCity!",0,
,7,"SELECT BillingAddress, BillingCity FROM Invoice;","SELECT InvoiceDate, BillingAddress, BillingCity FROM Invoice;",0,0,"Expected only the following column(s) to be selected: BillingAddress, BillingCity!",0,
column ordering,8,,"SELECT BillingCity, BillingAddress  FROM Invoice;",0,1,tatsächlich inkorrekt? Reihenfolge Columns. Mail nachfragen?,1,
order by,9,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;","SELECT TrackId, Name, GenreId from Track ORDER BY GenreId;",1,1,,0,
,10,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId DESC;","SELECT TrackId, Name, GenreId from Track;",0,1,order by wird nicht ausreichend behandelt!,1,
,11,,"SELECT TrackId, Name, GenreId from Track ORDER BY GenreId ASC;",0,1,order by wird nicht ausreichend behandelt!,1,
Redundanzen,12,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2;
","SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 and MediaTypeId > 1;",1,1,,0,
,13,,"SELECT Name, MediaTypeId FROM Track
WHERE MediaTypeId > 2 or MediaTypeId > 1;
",0,0,"Expected a total of 232 row(s) to be returned, instead got 469!",0,
Sub-Query/Join,14,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType where MediaType.Name = 'AAC audio file')
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId;","select Track.TrackId, Track.Name, Track.Composer   from Track 
join (select MediaType.MediaTypeId,  MediaType.Name from MediaType)
as t_MediaType ON Track.MediaTypeId = t_MediaType.MediaTypeId;
",0,0,"Expected a total of 11 row(s) to be returned, instead got 3503!",0,
,15,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
Join MediaType ON Track.MediaTypeId = MediaType.MediaTypeId;

",0,0,"Expected a total of 11 row(s) to be returned, instead got 3503!",0,
,16,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
WHERE MediaType.Name = 'AAC audio file';

",1,1,,0,
,17,,"select Track.TrackId, Track.Name, Track.Composer  from Track 
join MediaType
ON Track.MediaTypeId = MediaType.MediaTypeId
AND MediaType.Name = 'AAC audio file';


",1,1,,0,
,18,,"select Track.TrackId, Track.Name, Track.Composer
from Track, MediaType
where
Track.MediaTypeId = MediaType.MediaTypeId
and 
(MediaType.Name = 'AAC audio file')",1,1,,0,
distinct,19,SELECT DISTINCT PlaylistId FROM PlaylistTrack;,SELECT  PlaylistId FROM PlaylistTrack;,0,0,"Expected a total of 14 row(s) to be returned, instead got 8715!",0,
"where, and",20,"SELECT * FROM Employee
WHERE Title = 'Sales Support Agent';",SELECT * FROM Employee;,0,0,keine Where-Klausel,0,
,21,,"SELECT * FROM Employee
WHERE ReportsTo = 2;

",0,1,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik,1,
,22,"SELECT Email FROM Employee
WHERE City = 'Calgary' AND ReportsTo = 1;
","SELECT Email FROM Employee
WHERE City = 'Calgary';
",0,0,"Expected a total of 2 row(s) to be returned, instead got 5!",0,
or,23,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City  = 'Lethbridge';","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton';",0,0,"Expected a total of 3 row(s) to be returned, instead got 1!",0,
,24,,"SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Edmonton' OR City = 'Calgary';",0,0,"Expected a total of 3 row(s) to be returned, instead got 6!",0,
not,25,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Calgary';","SELECT LastName, FirstName, City FROM Employee
WHERE City = 'Lethbridge' OR City = 'Edmonton';",0,1,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz,1,
,26,,"SELECT LastName, FirstName, City FROM Employee
WHERE NOT City = 'Edmonton';",0,0,"Expected a total of 3 row(s) to be returned, instead got 7!",0,
limit,27,"SELECT LastName, FirstName, City FROM Employee
LIMIT 3;","SELECT LastName, FirstName, City FROM Employee
LIMIT 4;
",0,0,"Expected a total of 3 row(s) to be returned, instead got 4!",0,
,28,,"SELECT LastName, FirstName, City FROM Employee;",0,0,"Expected a total of 3 row(s) to be returned, instead got 8!",0,
"min, max",29,SELECT MIN(UnitPrice) FROM InvoiceLine;,SELECT UnitPrice FROM InvoiceLine LIMIT 1;,0,0,zufällig gleiches Ergebnis-Set aber andere Syntax & Semantik → Test für Verfahren mit pragmatischen Ansatz (result: Expected only the following column(s) to be selected: MIN(UnitPrice)!),0,
,30,,SELECT MAX(UnitPrice) FROM InvoiceLine;,0,0,Expected only the following column(s) to be selected: MIN(UnitPrice)!,0,
,31,SELECT MAX(UnitPrice) FROM InvoiceLine;,SELECT UnitPrice FROM InvoiceLine LIMIT 1;,0,0,Expected only the following column(s) to be selected: MAX(UnitPrice)!,0,
count,32,"SELECT COUNT(UnitPrice) FROM InvoiceLine WHERE UnitPrice = 0.99;
",SELECT UnitPrice FROM InvoiceLine WHERE UnitPrice = 0.99;,0,0,SELECT UnitPrice FROM InvoiceLine WHERE UnitPrice = 0.99;,0,
